Alls,Allt landid,13821,19671,28730,29254,43403,114227,291475,237439,48069,30149,25489,14620,15464,22552,30686,32373,46434,125792,320798,246097,55841,33438,26189,15686,15912,24548,34308,32748,44670,159565,346190,264117,51938,33359,28167,15797,16497,23450,36381,36415,49078,158397,339558,261153,52158,31053,24052,15713,16755,25081,32955,35002,50612,168224,353408,266580,59672,37993,28579,15858,17511,24551,34943,37763,59678,173673,357652,299666,67124,46419,29415,18994,18006,28331,36481,43008,62349,180871,398512,301253,72676,52422,31354,22845,19852,29622,37743,46465,69007,199834,406213,305374,79460,50713,34008,25016,22108,30893,43960,49379,74030,209259,430753,352202,96132,57812,41051,28932,26921,37133,53661,57238,93403,233150,446963,367215,94153,63821,44392,30077,30506,42378,49570,58710,94473,236404,485588,383257,97626,60041,41791,29074,27724,39234,46564,59657,100152,289937,582066,459492,110161,58278,39882,28760,29052,42232,55094,56274,94548,278296,563408,408488,101403,65911,41022,32280,28890,45085,56971,73906,106149,298345,581725,454118,124691,74221,45615,38091,36540,57326,75369,74998,126395,320090,600995,496104,158836,85338,66656,50360,49343,77548,99881,86737,150449,368136,672616,541116,175975,111128,82541,67599
Alls,Hofudborgarsvaedi,8355,12789,17272,16749,20660,29479,48027,45546,22740,17791,17118,10373,10295,15834,19604,19289,20771,31629,50424,46847,24743,18069,15895,11119,10328,16331,21704,19893,21932,35825,50256,48781,23070,19634,18118,11002,10261,15155,23593,21774,23140,33759,51057,49472,23997,17183,16032,11536,10711,15655,19372,20169,23345,37702,55533,53608,24125,21360,16316,10156,10971,14841,19032,20659,24839,38866,59277,60782,27053,25608,17448,13227,11728,17882,21616,23585,26011,44080,68187,62889,29258,31946,18425,14874,12553,18229,21836,24987,27982,48350,69900,65559,34484,28112,20850,16913,13974,18937,25185,25965,33453,53401,76224,71190,40690,32962,25638,19857,17338,22657,32965,31640,41045,58015,81394,77269,40265,37824,28414,20764,21220,27084,28140,31854,40886,59422,86680,81861,40427,35369,26198,21624,18702,23453,26470,30913,39281,63385,97008,96255,44745,32950,24445,19674,19129,25668,31524,30495,37078,62731,96193,92033,44502,35101,23904,20951,19531,27543,34611,40197,45105,80747,109613,105755,57159,45116,28182,25147,25759,37621,47329,42776,53402,84046,112958,105935,62178,47403,44149,34655,33603,46849,55850,49473,61803,94501,130797,124582,67890,59925,52840,45871
Utlendingar,Allt landid,5424,8473,13757,15627,24519,72270,188818,171522,32145,13987,11238,7459,6983,10761,13510,15967,25460,81243,196399,175423,37677,16173,11795,8975,7760,12323,18311,18102,26982,93670,203946,175422,35032,18840,14573,8940,8724,13758,21883,22996,30972,98376,210833,187304,36885,18192,12817,9416,9287,13488,18457,19450,32926,107630,224969,192583,42096,21717,13137,8893,9943,13433,17893,22884,38664,111966,237799,217225,47914,27850,14459,11293,10225,16717,20792,26523,39232,122551,263292,223205,51587,34888,15347,11871,10666,16027,21716,25785,44742,134035,267453,231157,57182,32459,16861,13332,11250,16911,22559,29391,52061,142585,290752,261734,69543,36963,21373,15704,14878,21191,30998,36999,64348,156160,312364,277513,66839,38784,21999,15616,16532,23213,28986,34020,65020,162766,331937,289990,71854,40711,22663,18385,17048,23711,26588,39919,68318,193946,392668,357313,84929,37522,21689,17134,17953,25782,33410,35048,65063,194434,376912,317263,75853,41586,21894,19077,18863,28431,35557,49934,78033,223542,413922,368097,99338,52241,27406,24072,26120,39806,50486,53363,94569,244736,451997,399311,125580,63277,45364,34636,37240,59079,72899,62419,115440,287679,501410,448998,141857,81748,57774,51553
Utlendingar,Hofudborgarsvaedi,4751,7562,11477,12375,16883,26660,44995,42597,19790,11635,10117,6534,6223,9715,12086,14126,17855,29378,47664,43906,21676,13054,10699,7788,6583,11040,16390,15520,18614,33129,47500,45203,20217,15199,12661,7760,7378,11764,19047,18800,20678,31707,48859,47873,21868,13729,11270,8407,7885,11752,15457,15778,20353,34995,52590,50243,20895,17522,11462,7661,8386,11546,14920,17457,21810,36114,56329,57453,24451,21831,12860,9935,8741,14293,17215,19834,23157,41147,65130,59610,26086,27914,13134,10180,8962,13431,16694,19309,23911,44380,65247,61351,30175,22908,14419,11637,9625,13709,17935,20977,29157,47567,71109,66279,35828,26733,18175,13714,12717,17210,25391,25999,35031,51639,74331,70089,32875,28604,19390,13381,14535,19380,21252,24015,33494,51905,79482,74519,34558,28321,18769,15873,14000,17890,19848,24612,32297,56577,88530,86867,38546,26470,17556,14230,14643,20019,24825,24335,31434,57720,90359,84399,37327,26737,16856,14646,15143,21278,26146,31539,38524,72596,101917,97156,50222,36880,21097,19119,20601,29504,37681,35375,45027,75054,104434,97050,52283,39375,33899,26143,27557,38826,45754,39875,52128,84246,120234,113192,55764,48435,41045,37295
Island,Allt landid,8397,11198,14973,13627,18884,41957,102657,65917,15924,16162,14251,7161,8481,11791,17176,16406,20974,44549,124399,70674,18164,17265,14394,6711,8152,12225,15997,14646,17688,65895,142244,88695,16906,14519,13594,6857,7773,9692,14498,13419,18106,60021,128725,73849,15273,12861,11235,6297,7468,11593,14498,15552,17686,60594,128439,73997,17576,16276,15442,6965,7568,11118,17050,14879,21014,61707,119853,82441,19210,18569,14956,7701,7781,11614,15689,16485,23117,58320,135220,78048,21089,17534,16007,10974,9186,13595,16027,20680,24265,65799,138760,74217,22278,18254,17147,11684,10858,13982,21401,19988,21969,66674,140001,90468,26589,20849,19678,13228,12043,15942,22663,20239,29055,76990,134599,89702,27314,25037,22393,14461,13974,19165,20584,24690,29453,73638,153651,93267,25772,19330,19128,10689,10676,15523,19976,19738,31834,95991,189398,102179,25232,20756,18193,11626,11099,16450,21684,21226,29485,83862,186496,91225,25550,24325,19128,13203,10027,16654,21414,23972,28116,74803,167803,86021,25353,21980,18209,14019,10420,17520,24883,21635,31826,75354,148998,96793,33256,22061,21292,15724,12103,18469,26982,24318,35009,80457,171206,92118,34118,29380,24767,16046
Island,Hofudborgarsvaedi,3604,5227,5795,4374,3777,2819,3032,2949,2950,6156,7001,3839,4072,6119,7518,5163,2916,2251,2760,2941,3067,5015,5196,3331,3745,5291,5314,4373,3318,2696,2756,3578,2853,4435,5457,3242,2883,3391,4546,2974,2462,2052,2198,1599,2129,3454,4762,3129,2826,3903,3915,4391,2992,2707,2943,3365,3230,3838,4854,2495,2585,3295,4112,3202,3029,2752,2948,3329,2602,3777,4588,3292,2987,3589,4401,3751,2854,2933,3057,3279,3172,4032,5291,4694,3591,4798,5142,5678,4071,3970,4653,4208,4309,5204,6431,5276,4349,5228,7250,4988,4296,5834,5115,4911,4862,6229,7463,6143,4621,5447,7574,5641,6014,6376,7063,7180,7390,9220,9024,7383,6685,7704,6888,7839,7392,7517,7198,7342,5869,7048,7429,5751,4702,5563,6622,6301,6984,6808,8478,9388,6199,6480,6889,5444,4486,5649,6699,6160,5644,5011,5834,7634,7175,8364,7048,6305,4388,6265,8465,8658,6581,8151,7696,8599,6937,8236,7085,6028,5158,8117,9648,7401,8375,8992,8524,8885,9895,8028,10250,8512,6046,8023,10096,9598,9675,10255,10563,11390,12126,11490,11795,8576
