Alls,Allt landid,31099,42748,61462,63484,90135,197738,433160,364139,99619,67403,56053,33638,33599,48656,66356,72276,100420,219114,489310,380749,109822,72943,54988,36365,35431,49480,73532,77999,92809,254514,499800,386996,101343,71255,58742,35030,35892,50874,79254,81540,96356,256808,488417,391970,101108,73040,52376,36853,37653,57106,79224,75574,102616,284778,525419,413051,112957,79244,58007,35056,35574,54609,79115,87107,116832,288048,540293,459003,123623,97609,61254,41381,38043,64337,83700,94791,123999,303525,609707,467374,132246,105162,63459,43887,42635,63480,82326,99709,132342,331716,624524,484296,145239,107994,68233,50417,48867,69187,93178,106727,147006,343645,659127,540789,176577,123369,85386,63210,61854,80963,109259,120043,178681,391799,685851,559511,177748,138205,92369,66111,70615,95107,106519,117341,179337,382859,734427,578389,184806,129507,89815,67267,66364,88487,103841,123036,190104,451236,834069,666874,198906,133159,83677,64876,70682,101118,124126,121869,178893,447881,831150,628177,189783,145870,89048,70428,69658,105981,129462,160329,199643,475818,853633,674068,230141,162525,99565,88137,91597,135279,173624,169735,238755,520017,901531,751125,286046,185596,153671,118237,119717,187148,232087,191460,281014,586147,1006631,796388,313748,229130,178049,159166
Alls,Hofudborgarsvaedi,21324,31435,42857,43066,53726,72181,99292,97484,57977,46653,41387,26205,25587,38267,47857,50624,58773,76662,102053,99791,61865,50351,40557,29097,26791,37381,52398,55871,57840,84094,107936,100220,57553,50269,43945,27825,26099,38160,56582,55435,55702,78212,98354,102242,58715,50207,40166,30523,28443,41139,53604,50142,59378,89171,107048,109112,58734,53224,39891,26753,26375,39667,52848,57996,63248,88989,115414,122504,63206,64294,43365,32375,27179,44834,57455,62068,66128,97769,133425,124800,67756,71646,44982,32476,31821,45604,54325,63912,70941,106714,137799,141483,78889,70595,47008,37577,34773,47468,61446,67848,86462,113559,155014,142788,94112,82205,61248,48464,44481,54820,74462,75739,99673,134258,164858,155544,98763,95553,68842,51938,55253,70187,71430,76339,96771,128074,163995,161236,99505,88865,66181,55376,50573,60073,69487,75126,99055,132377,175592,178522,103240,93429,59881,50877,53655,69243,83862,78773,94071,139392,178478,182721,105799,97591,63499,53467,54060,74767,92304,104805,110338,166367,206850,206947,133107,117403,71697,68315,73223,100108,127180,117881,131135,187871,231014,223027,145725,125776,115419,93202,92629,130637,153582,131167,150411,206864,261192,248734,154222,145362,133645,121155
Utlendingar,Allt landid,15607,23293,33883,39580,58633,131024,284861,265353,73040,38728,31531,21314,19272,28765,36374,44539,65253,149414,301543,271163,81137,46365,32770,24669,21183,30594,45849,49824,64774,163809,311931,266907,75903,48783,38015,24659,23469,35380,54146,57365,67517,166083,306761,283128,77263,51064,34625,27413,25453,37502,51151,49257,74295,186036,335530,299368,84921,53669,35219,24117,24441,37291,50367,62456,83511,190980,362246,335567,94152,68133,38319,29325,25068,43933,55860,65637,86241,209176,403933,346460,98899,76160,39207,28274,28420,42139,53881,64857,92554,224414,410125,369781,109830,78647,42709,32826,31179,44756,58332,71202,111653,236981,444663,398137,134439,89624,55331,42843,42381,54450,72322,83748,131042,270512,481970,421225,131390,97192,56629,42277,46745,63677,70500,76448,130460,268644,498377,437901,141429,97297,60263,50957,48102,60954,68530,85946,137453,303351,557619,512342,157362,100114,55085,47387,51095,70258,86200,84996,132794,315758,557066,483057,146864,107008,59131,50091,52395,75474,92236,116119,154565,354460,603981,541674,189695,126514,70503,66629,72440,103361,130618,130071,187571,395888,671231,599136,232232,146301,116942,93320,97588,151520,182574,148134,221585,458341,744215,656309,255213,177932,139499,133342
Utlendingar,Hofudborgarsvaedi,13719,20741,30254,34319,45823,66860,93940,91983,51985,34372,28733,19033,18018,26785,33599,40782,52462,72918,97730,94752,55798,40702,30784,22466,19329,28573,42173,45746,51316,78906,103154,94440,52482,42540,34529,22500,20866,31882,48422,49782,51149,74010,94389,98792,54473,43400,31805,25446,23392,34244,45511,42964,53898,83729,101571,103392,52423,46128,31745,21966,21806,33548,45547,52752,57346,83747,110669,116454,58361,57431,35583,26737,22218,38627,49535,54924,60621,92003,128055,118892,61724,64545,35771,25616,25734,37616,45162,54075,62571,99009,130654,133695,70556,60813,36802,29703,27942,38435,49564,58226,77905,103347,145455,133680,85330,71564,48318,38526,36512,44967,61298,65085,87201,121719,151956,142580,84007,78295,52336,38524,42712,56247,57674,61982,83089,113974,151479,147985,88563,75039,52606,45948,42527,50317,57840,64706,86296,120120,162695,162648,91416,81648,48041,42186,45248,58770,72050,68581,83937,130316,169510,168542,93237,82100,50848,42885,45876,63047,76793,89961,99513,152046,194061,191500,120109,102038,58932,58032,62504,84589,109675,103696,115961,170512,214917,206509,128046,109720,96271,78345,80741,114135,133031,112001,131263,189067,242977,228615,131996,124663,112899,106398
Island,Allt landid,15492,19455,27579,23904,31502,66714,148299,98786,26579,28675,24522,12324,14327,19891,29982,27737,35167,69700,187767,109586,28685,26578,22218,11696,14248,18886,27683,28175,28035,90705,187869,120089,25440,22472,20727,10371,12423,15494,25108,24175,28839,90725,181656,108842,23845,21976,17751,9440,12200,19604,28073,26317,28321,98742,189889,113683,28036,25575,22788,10939,11133,17318,28748,24651,33321,97068,178047,123436,29471,29476,22935,12056,12975,20404,27840,29154,37758,94349,205774,120914,33347,29002,24252,15613,14215,21341,28445,34852,39788,107302,214399,114515,35409,29347,25524,17591,17688,24431,34846,35525,35353,106664,214464,142652,42138,33745,30055,20367,19473,26513,36937,36295,47639,121287,203881,138286,46358,41013,35740,23834,23870,31430,36019,40893,48877,114215,236050,140488,43377,32210,29552,16310,18262,27533,35311,37090,52651,147885,276450,154532,41544,33045,28592,17489,19587,30860,37926,36873,46099,132123,274084,145120,42919,38862,29917,20337,17263,30507,37226,44210,45078,121358,249652,132394,40446,36011,29062,21508,19157,31918,43006,39664,51184,124129,230300,151989,53814,39295,36729,24917,22129,35628,49513,43326,59429,127806,262416,140079,58535,51198,38550,25824
Island,Hofudborgarsvaedi,7605,10694,12603,8747,7903,5321,5352,5501,5992,12281,12654,7172,7569,11482,14258,9842,6311,3744,4323,5039,6067,9649,9773,6631,7462,8808,10225,10125,6524,5188,4782,5780,5071,7729,9416,5325,5233,6278,8160,5653,4553,4202,3965,3450,4242,6807,8361,5077,5051,6895,8093,7178,5480,5442,5477,5720,6311,7096,8146,4787,4569,6119,7301,5244,5902,5242,4745,6050,4845,6863,7782,5638,4961,6207,7920,7144,5507,5766,5370,5908,6032,7101,9211,6860,6087,7988,9163,9837,8370,7705,7145,7788,8333,9782,10206,7874,6831,9033,11882,9622,8557,10212,9559,9108,8782,10641,12930,9938,7969,9853,13164,10654,12472,12539,12902,12964,14756,17258,16506,13414,12541,13940,13756,14357,13682,14100,12516,13251,10942,13826,13575,9428,8046,9756,11647,10420,12759,12257,12897,15874,11824,11781,11840,8691,8407,10473,11812,10192,10134,9076,8968,14179,12562,15491,12651,10582,8184,11720,15511,14844,10825,14321,12789,15447,12998,15365,12765,10283,10719,15519,17505,14185,15174,17359,16097,16518,17679,16056,19148,14857,11888,16502,20551,19166,19148,17797,18215,20119,22226,20699,20746,14757
