"U.S.  Economic Assistance, Constant 2012 $US ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: US Overseas Loans & Grants [Greenbook], http://gbk.eads.usaidallnet.gov/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by USAID Economic Analysis and Data Services on March 28, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tq—In 1976 the U.S. Government changed the fiscal year from July-June to October-September. The Transition Quarter (TQ) reports the 3 month adjustment period of July, August and September in 1976.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Program Name,FY1946,FY1947,FY1948,FY1949,FY1950,FY1951,FY1952,FY1953,FY1954,FY1955,FY1956,FY1957,FY1958,FY1959,FY1960,FY1961,FY1962,FY1963,FY1964,FY1965,FY1966,FY1967,FY1968,FY1969,FY1970,FY1971,FY1972,FY1973,FY1974,FY1975,FY1976,FY1976tq,FY1977,FY1978,FY1979,FY1980,FY1981,FY1982,FY1983,FY1984,FY1985,FY1986,FY1987,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012
Afghanistan,Other USAID Assistance,,,,,,,"2,179,561","15,698,030","17,643,118","14,003,625","124,888,339","94,703,292","51,076,584","122,111,461","64,654,077","78,438,075","45,455,021","104,148,347","131,318,836","62,794,982","62,607,073","139,541,361","45,819,218","44,843,624","32,873,759","40,514,263","42,202,124","114,152,963","49,118,345","57,619,890","20,906,186","4,825,652","61,784,141","14,431,486","8,228,578",,,,,,"6,317,148",,,,,,,,"14,754,265","495,597",,,,,,,"11,480,062","196,288,660","160,971,873","56,261,453","48,440,276","-1,913,563","19,263,812","67,666,192","90,848,557","237,571,443","191,562,419","68,890,414"
Afghanistan,Other USDA Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,294","432,068","500,565",,,"127,656",,"105,734,132",,"12,000"
Afghanistan,Peace Corps,,,,,,,,,,,,,,,,,"6,061","1,795,661","3,549,158","7,558,655","8,537,328","7,170,109","8,524,506","8,153,386","4,350,939","5,064,283","5,714,871","5,897,201","5,894,201","4,268,140","2,986,598","643,420","2,303,397","2,282,310","864,616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Title I,,,,,,,,,,,,,,,,,,,,"3,488,610",,"10,479,391","33,032,460","17,835,532",,"13,811,681","26,815,933","27,379,862",,,,"8,042,754",,"14,752,571",,,,,,,,,,,,,,,,,,,,,,,,,"6,538,024",,,"8,841,159","14,216,698",,"19,834,679","15,891,555",,
Afghanistan,Title II,,,,,,,,,,,"6,824","43,405,675","39,584,353","47,837,480","621,674","114,593,125","4,848,536","598,554","112,981,521","123,845,660","118,384,283","23,164,969",,"7,643,799","3,867,501","3,683,115","82,206,222","15,164,231","392,947","13,871,455","4,977,663","965,130","2,272,520","1,857,088","19,259,797",,,,,,,"16,305,304","4,606,998","50,063,619","95,537,732","24,221,425","31,071,002","47,045,621","26,557,678",,"17,531,130","21,099,377","39,145,414",,"8,447,524","18,205,416","38,582,466","200,417,070","59,021,146","60,242,883","66,322,527","68,919,126","65,304,682","187,594,540","78,933,364","66,250,296","107,967,796","61,251,900"
Albania,Child Survival and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,196,489","173,820","924,574","1,863,679","1,436,133",,"-2,961",,0
Albania,Department of Defense Security Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,628,134","7,999,769","1,559,538","2,961,741",,,,,,,"18,599,398","9,237,197","11,381,500","5,592,088","8,323",,,"101,837",
Albania,Development Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"512,845",,"368,029","811,048","347,640",,,,"-24,279","31,099","21,130","-6,203"
Albania,Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"336,469","332,072","15,629,538",,,"35,580","5,982",,"89,944",,,,"255,653",,"273,980"
Albania,Food For Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,963,099","3,029,836","3,501,781",,,,,,,,,
