Real GDP growth (Annual percent change),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belgium,4.4,-0.3,0.6,0.3,2.5,1.7,1.8,2.3,4.7,3.5,3.1,1.8,1.5,-1,3.2,2.4,1.4,3.7,1.9,3.5,3.7,0.8,1.4,0.8,3.3,1.8,2.7,2.9,1,-2.8,2.3,1.8,-0.1,0.2,1,1.4,1.5,1.4,1.3,1.2
Belize,5,0.2,-7.6,6.1,11.3,-1.4,7.3,22,10.9,15.5,11.2,11.5,12,6.3,0.2,0.7,1.4,3.5,3.7,8.8,13,5,5.1,9.3,4.6,3,4.7,1.2,3.8,0.3,3.1,2.1,4,0.7,2,2.5,2.5,2.5,2.5,2.5
Benin,9.3,1.9,1.7,-2,0.4,4.3,2.7,-2.1,3.4,-2.8,9,4.2,3,5.8,2,6,4.3,5.7,4,5.3,4.9,6.2,4.4,4,3.1,2.9,3.8,4.6,5,2.7,2.6,3.3,5.4,5.6,5.5,5.2,4.8,4.8,4.8,4.8
Bermuda,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Bhutan,5,13.6,8.2,7.3,7.6,4.3,8,20.2,15.1,6.2,9.1,4.9,2.1,3.2,3.5,6,6.2,5.4,5.6,6.9,6.5,6.7,9.5,9.1,6.7,6.5,7,12.6,10.8,5.7,9.3,10.1,6.5,5,6.4,7.6,8.2,8.6,11.5,8
Bolivia,0.6,0.3,-3.9,-4,-0.2,-1.7,-2.6,2.5,2.9,3.8,4.6,5.3,1.6,4.3,4.7,4.7,4.4,5,5,0.4,2.5,1.7,2.5,2.7,4.2,4.4,4.8,4.6,6.1,3.4,4.1,5.2,5.2,6.8,5.2,5,5,5,5,5
Bonaire,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Bosnia and Herzegovina,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10.7,4.4,2.4,5.1,3.9,6.3,3.9,5.7,6,5.6,-2.7,0.8,1,-1.2,2.1,0.7,3.5,3.7,4,4,4
Botswana,12,8.2,15.9,10.8,6.5,7.7,8.6,14.9,23.4,4.7,8.8,6.2,-0.2,4,-0.8,8,4.4,9.7,10.4,9.8,5.9,0.3,6.1,4.6,2.7,4.6,8,8.7,3.9,-7.8,8.6,6.2,4.3,5.9,4.4,4.2,4,4.1,4.1,3.8
Brazil,9.2,-4.4,0.6,-3.4,5.3,7.9,7.5,3.6,0.3,3.2,-4.2,1,-0.5,4.7,5.3,4.4,2.1,3.4,0,0.3,4.3,1.3,2.7,1.1,5.7,3.2,4,6.1,5.2,-0.3,7.5,2.7,1,2.5,0.3,1.4,2.2,2.7,2.9,3
British Virgin Islands,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
