Real GDP growth (Annual percent change),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Grenada,-3.6,0.9,4.5,2.7,4.9,7.7,8.6,10.8,3.2,6,5.2,2.6,0,-2.4,3,2.7,4.6,5.2,12.8,7.6,6.2,-2,3.4,9.5,-0.6,13.3,-4,6.1,0.9,-6.6,-0.5,0.8,-1.8,1.5,1.1,1.2,1.7,2,2.4,2.5
Guadeloupe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Guam,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Guatemala,3.7,0.6,-3.5,-2.5,0.5,-0.6,0.1,3.6,3.9,3.9,3.1,3.1,4.6,3.5,3.5,4.4,2.8,4.1,4.6,3.7,2.5,2.4,3.9,2.5,3.2,3.3,5.4,6.3,3.3,0.5,2.9,4.2,3,3.7,3.4,3.7,3.6,3.5,3.5,3.5
Guinea,2.6,0.6,1.8,1.3,1.4,5,3.1,3.3,6.3,4,4.3,1.5,3.3,5,4,4.7,5.2,5.2,4.6,4.5,2.9,3.8,4.2,1.2,2.3,3,2.5,1.8,4.9,-0.3,1.9,3.9,3.8,2.3,2.4,4.1,5,6.5,4.1,4.2
Guinea-Bissau,n/a,-0.5,4.2,-3.4,5.5,4.3,-1,5.6,2,2.9,4.6,5.1,1.1,2.1,3.2,4.4,4.6,6.5,-27.2,7.6,7.5,2.2,-1,0.6,2.8,4.3,2.3,3.2,3.2,3.3,4.4,9,-2.2,0.3,2.6,4,3.7,3.7,3.7,3.7
Guyana,-2.1,0.6,-8.9,-11.5,2.1,0.4,-0.2,-0.1,-6,-4.9,-3,6,7.8,8.2,8.5,5.1,8,6.2,-1.7,3,-1.3,2.3,1.1,-0.7,1.6,-1.9,5.1,7,2,3.3,4.4,5.4,4.8,5.2,3.3,3.8,4.8,4.3,4.2,3.2
Haiti,7.3,1.1,-2.8,-1.5,0.2,0.8,0.3,-0.4,0.6,-1.1,-0.4,1.3,-2.3,-4.9,-11.6,9.9,4.1,2.7,2.2,2.7,0.9,-1,-0.3,0.4,-3.5,1.8,2.2,3.3,0.8,3.1,-5.5,5.5,2.9,4.3,3.8,3.7,4,4,4,4
Holy See,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Honduras,0.7,2.5,-1.4,-0.9,4.3,4.2,0.7,6,4.6,4.3,0.1,3.3,5.6,6.2,-1.3,4.1,3.6,5,2.9,-1.9,5.7,2.7,3.8,4.5,6.2,6.1,6.6,6.2,4.2,-2.4,3.7,3.8,3.9,2.6,3,3.1,3.2,3,3,3
Hong Kong SAR,10.3,9.4,3,5.9,9.9,0.7,11,13.4,8.4,2.2,3.9,5.7,6.1,6,6,2.3,4.2,5.1,-6,2.6,8,0.6,1.7,3.1,8.7,7.4,7,6.5,2.1,-2.5,6.8,4.8,1.5,2.9,3,3.3,3.5,3.7,3.7,3.8
Hungary,0.2,2.9,2.8,0.7,2.7,-0.3,1.5,4.1,-0.1,0.7,-3.5,-11.9,-3.1,-0.6,2.9,2.5,0.2,3.1,4.1,3.2,4.2,3.7,4.5,3.9,4.8,4,3.9,0.1,0.9,-6.8,1.1,1.6,-1.7,1.1,2.8,2.3,1.8,1.8,1.8,1.8
Iceland,7.2,4.3,2.2,-2.2,4.1,3.3,6.3,8.5,-0.1,0.3,1.2,-0.2,-3.4,1.3,3.6,0.1,4.8,4.9,6.3,4.1,4.3,3.9,0.1,2.4,7.8,7.2,4.7,6,1.2,-6.6,-4.1,2.7,1.5,3.3,2.9,3,2.7,2.9,3.3,3
India,3.6,6.2,4.1,7.8,3.8,5.3,4.8,4,9.6,5.9,5.5,1.1,5.5,4.8,6.7,7.6,7.5,4,6.2,8.8,3.8,4.8,3.8,7.9,7.9,9.3,9.3,9.8,3.9,8.5,10.3,6.6,4.7,5,5.6,6.4,6.5,6.6,6.7,6.7
Indonesia,9.9,7.6,2.2,4.2,7,2.5,5.9,4.9,5.8,7.5,7.2,7,6.5,8,7.5,8.2,7.8,4.7,-13.1,0.8,4.2,3.6,4.5,4.8,5,5.7,5.5,6.3,6,4.6,6.2,6.5,6.3,5.8,5.2,5.5,5.8,6,6,6
Iran,-14.9,7.9,14.4,10.3,3.3,4.2,-9.3,-2.2,-14.1,6.2,19.6,12.6,4.3,-1.6,-0.4,2.7,7.1,3.4,2.7,1.9,5.1,2.3,7.4,8.8,5.7,3.3,5.7,6.4,1.5,2.3,6.6,3.9,-6.6,-1.9,1.5,2.2,2.2,2.2,2.2,2.2
Iraq,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,59.7,4.4,10.2,1.4,6.6,5.8,5.5,10.2,10.3,4.2,-2.7,1.5,7.6,6.7,7.7,9.1
Ireland,2.9,2.5,1.5,-0.7,3.2,1.9,0.4,3.6,3,5.6,7.7,1.6,3.6,2.3,5.9,9.6,9.1,10.8,8.5,10.2,9.5,5.3,5.8,3,4.6,5.7,5.5,4.9,-2.6,-6.4,-0.3,2.8,-0.3,0.2,3.6,3,2.5,2.6,2.5,2.5
Isle of Man,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Israel,3.6,4.7,1.4,2.6,2.2,4.5,3.6,7.5,3.6,1.4,6.6,4.6,7.2,3.8,7,9.7,5.8,3.9,4.3,3.7,8.9,0.1,-0.1,1.1,5.1,4.3,5.8,6.3,3.5,1.9,5.8,4.2,3,3.2,2.5,2.8,3.2,3.2,3.3,3.2
Italy,-1.4,0.8,0.7,0.9,3.2,2.8,2.9,3.2,4.2,3.4,2.1,1.4,0.8,-0.9,2.2,2.9,1.1,1.9,1.4,1.5,3.7,1.9,0.5,0,1.7,0.9,2.2,1.7,-1.2,-5.5,1.7,0.4,-2.4,-1.9,-0.2,0.8,1.3,1.2,1.1,1
Jamaica,-4,4.4,3.1,4.2,0.9,-0.9,7,7.7,-4,4.7,4.9,0.8,2.8,2.2,1.9,2.5,-0.2,-1.6,-1.2,1,0.8,1.3,0.7,3.7,1.3,0.9,2.9,1.4,-0.8,-3.4,-1.5,1.4,-0.5,0.2,1.1,1.8,2.2,2.4,2.7,2.7
Japan,3.2,4.2,3.4,3.1,4.5,6.3,2.8,4.1,7.1,5.4,5.6,3.3,0.8,0.2,0.9,1.9,2.6,1.6,-2,-0.2,2.3,0.4,0.3,1.7,2.4,1.3,1.7,2.2,-1,-5.5,4.7,-0.5,1.5,1.5,0.9,0.8,0.8,0.9,0.9,1
Jordan,11.2,17.2,7,-2.2,4.3,-2.7,5.5,2.3,1.5,-10.7,-0.3,1.6,14.4,4.5,5,6.2,2.1,3.3,3,3.4,4.3,5.3,5.8,4.2,8.6,8.1,8.1,8.2,7.2,5.5,2.3,2.6,2.7,2.9,3.5,4,4.5,4.5,4.5,4.5
Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-9.2,-12.6,-8.2,0.5,1.7,-1.9,2.7,9.8,13.5,9.8,9.3,9.6,9.7,10.7,8.9,3.3,1.2,7.3,7.5,5,6,4.6,4.7,4.8,5.8,5.2,5.7
Kenya,5.6,4.1,5.1,1.6,1.6,4.1,7,5.8,6.1,4.6,4.1,1.3,-1.1,-0.1,2.5,4.3,4,0.2,3.3,2.4,0.6,4.3,0.5,3.2,4.2,5.5,5.6,8,-0.4,2.6,8.6,7.6,4.6,4.6,5.3,6.2,6.4,6.5,6.6,6.6
Kiribati,-44.4,-3.5,6.8,-0.7,5,-6.6,-1.2,-9.1,9.1,-2.4,4.1,-2.6,0.2,0.6,1.3,-0.6,3,2.4,7.3,-2.8,5.3,0.7,0.6,4,3.2,-0.2,-4.5,7.5,2.8,-0.7,-0.5,2.7,2.8,2.9,3,2.7,2.5,2.4,2.3,2.1
"Korea, Dem. People's Rep. of",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Korea, Republic of",-1.9,7.4,8.3,12.2,9.9,7.5,12.2,12.3,11.7,6.8,9.3,9.7,5.8,6.3,8.8,8.9,7.2,5.8,-5.7,10.7,8.8,4.5,7.4,2.9,4.9,3.9,5.2,5.5,2.8,0.7,6.5,3.7,2.3,3,3.7,4,4,3.9,3.9,3.9
Kosovo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.1,-0.7,5.4,2.6,3.9,3.4,8.3,4.5,3.6,3.3,4.4,2.8,3.4,2.7,3.3,4,4,4,4
Kuwait,-20.4,-18.9,-9.5,5.3,5.2,-4.3,8.6,8.1,-10,25.9,-26.2,-41,82.8,35.1,8.6,1.7,0.6,2.5,3.7,-1.8,4.7,0.2,3,17.3,10.8,10.1,7.5,6,2.5,-7.1,-2.4,10.2,8.3,-0.4,1.4,1.8,1.8,3.3,3.3,3.3
Kyrgyz Republic,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-13,-19.8,-5.8,7.1,9.9,2.1,3.7,5.4,5.3,0,7,7,-0.2,3.1,8.5,7.6,2.9,-0.5,6,-0.9,10.5,4.1,4.9,5,5.1,5.2,5.3
Lao P.D.R.,10,15.3,4.7,3,6.4,9.1,4.8,-1,-2.1,9.9,6.7,4,7,5.9,8.2,7,6.9,6.9,4.4,4.1,6.3,4.6,6.9,6.2,7,6.8,8.6,7.8,7.8,7.5,8.1,8,7.9,8,7.4,7.2,7.7,7.7,7.4,7.5
Latvia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-11.4,2.2,-2.1,4,9.6,5.6,2.9,5.7,7.3,7.1,7.7,8.8,10.1,11,10,-2.8,-17.7,-1.3,5.3,5.2,4.1,2.7,3.2,3.4,4.1,3.9,3.9
Lebanon,1.5,0.5,-36.8,22.7,44.5,24.3,-6.8,16.7,-28.2,-42.2,-13.4,38.2,4.5,7,8,6.5,4,10.2,3.9,-0.8,1.1,3.9,3.4,1.7,5.1,2.7,1.6,9.4,9.1,10.3,8,2,2.5,1.5,1.8,2.5,4,4,4,4
Lesotho,-0.8,3.1,5.6,0.3,5.1,4.4,5.4,0.2,8.8,6.8,6.5,2.4,7.4,3.3,5.7,1.8,4.7,3.4,5.5,0.4,5.7,3.7,2,3.5,2.8,2.9,4.1,4.9,5.1,4.5,5.6,4.3,6,5.7,4.3,4.7,5,5.4,5.5,5.5
Liberia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.8,4.4,-28.2,3.9,5.7,8.2,12.7,6,5.1,6.1,7.5,8.3,8.7,2.5,4.5,10.9,9.3,9.5,10.4
Libya,0.6,-20,1.5,-4.7,-8.3,0.6,-11.4,-14.7,7.6,7.2,3.7,15.7,-2.7,-3.8,1.9,-12.4,2.6,-0.6,-0.4,0.5,3.7,-1.8,-1,13,4.5,11.9,6.5,6.4,2.7,-0.8,5,-62.1,104.5,-13.6,-19.8,15,18.3,12.8,11.1,9.4
Liechtenstein,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Lithuania,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.2,8.1,7.6,-1,3.6,6.7,6.8,10.3,7.4,7.8,7.8,9.8,2.9,-14.8,1.6,6,3.7,3.3,3,3.3,3.7,3.7,3.6,3.7
Luxembourg,3.2,0.8,1,1.9,4.7,5.6,10,4,8.5,9.8,5.3,8.6,1.8,4.2,3.8,1.4,1.5,5.9,6.5,8.4,8.4,2.5,4.1,1.7,4.4,5.3,4.9,6.6,-0.7,-5.6,3.1,1.9,-0.2,2.1,2.7,1.9,2.1,2.2,2.2,2.2
Macao SAR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Madagascar,0.8,-9.8,-1.9,0.9,1.8,1.2,2,1.2,3.4,4.1,3.1,-6.3,1.2,2.1,0,1.7,2.2,3.7,3.9,4.7,4.5,6,-12.4,9.8,5.3,4.8,5.4,6.5,7.2,-3.5,0.1,1.5,2.5,2.4,3,4,4.5,4.5,4.5,4.5
Malawi,0.4,-5.2,2.5,3.7,5.4,4.6,-0.2,1.6,3.2,1.3,5.7,8.7,-7.3,9.7,-10.3,13.8,10,6.6,1.1,3.5,0.8,-4.1,1.7,5.5,5.5,2.6,2.1,9.5,8.3,9,6.5,4.3,1.9,5.2,5.7,6,5.5,5.2,5,5
Malaysia,7.4,6.9,5.9,6.3,7.8,-0.9,1.2,5.4,9.9,9.1,9,9.5,8.9,9.9,9.2,9.8,10,7.3,-7.4,6.1,8.7,0.5,5.4,5.8,6.8,5,5.6,6.3,4.8,-1.5,7.4,5.2,5.6,4.7,5.9,5.2,5,5,5,5
Maldives,18.8,7.9,7.5,4.4,17.4,13.8,8.6,8.9,8.7,9.3,-4,6.9,6.5,5.4,7.5,7.4,9.1,10.4,9.8,7.2,4.8,-5,6.9,15.6,13.1,-9.4,19.6,10.2,10.9,4.5,7.1,6.5,0.9,3.7,4.5,4.3,4.1,4.1,4.1,4
Mali,3.3,-2.4,6.6,-5.1,1,-1.9,8.6,2,-0.3,11.9,7,9.1,-3.2,3.8,3.6,2.4,7.4,5.3,4.4,5.7,-3.3,11.9,4.3,7.6,2.3,6.1,5.3,4.3,5,4.5,5.8,2.7,0,1.7,5.9,4.8,5.1,4.8,4.7,4.7
Malta,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,2.4,0.7,-0.3,3.6,2.6,4.1,3.9,-2.8,4.3,1.4,1.1,2.9,2.2,2.2,2,1.9,1.8,1.7
Marshall Islands,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-2.9,-2.4,5.9,5.4,2.6,0.3,-0.1,2.6,1.9,3.8,-2,-1.8,5.9,0.6,3.2,0.8,3.2,1.7,1.5,1.4,1,1.5
Martinique,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mauritania,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,1.8,5.9,-3.1,9.8,5.8,-4,2.8,6.7,1.9,2.9,1.1,5.6,5.2,5.4,11.4,1,3.5,-1.2,4.3,4,7,6.7,6.8,6.8,6.7,8.9,5.7,10.7
Mauritius,11.4,-7.1,5.3,5.9,1,4.8,8.8,11.2,8.7,5.8,4.9,6.4,10.4,10.3,4.8,4.4,0.3,3.7,8.6,4.6,7.2,3.2,1.6,6,4.3,1.5,4.5,5.9,5.5,3,4.1,3.9,3.2,3.2,3.3,3.9,4.1,4.1,4,4
Mayotte,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,9.5,8.5,-0.5,-3.5,3.4,2.2,-3.1,1.7,1.3,4.1,5.2,4.2,3.6,2.6,4.7,-5.8,5.9,7,4.7,2.7,5.3,-0.6,0.1,1.4,4.3,3,5,3.1,1.4,-4.7,5.1,4,4,1.1,2.4,3.5,3.8,3.8,3.8,3.8
"Micronesia, Fed. States of",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-3.1,-6.1,3,1.4,4.6,1.7,0.6,1.8,-3.2,2.2,-0.2,-2.1,-2.6,1,2.5,2.1,0.4,0.6,0.6,0.6,0.6,0.7,0.7,0.7
Moldova,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-1.2,-30.9,-1.4,-5.9,1.6,-6.5,-3.4,2.1,6.1,7.8,6.6,7.4,7.5,4.8,3,7.8,-6,7.1,6.8,-0.7,8.9,1.8,3.5,3.8,4,4,4
Monaco,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mongolia,6.4,8.4,8.3,5.8,5.9,5.7,9.4,3.5,5.1,4.2,-2.5,-9.2,-9.3,-3.2,2.1,6.4,2.2,3.9,3.3,3.1,1.1,3,4.7,7,10.6,7.3,8.6,10.2,8.9,-1.3,6.4,17.5,12.4,11.7,9.1,8.4,7.9,7.6,7.1,6.8
Montenegro,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.1,1.9,2.5,4.4,4.2,8.6,10.7,6.9,-5.7,2.5,3.2,-2.5,3.5,2.3,3.4,3.3,3.3,3.3,3
Montserrat,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Morocco,3.8,-2.8,9.6,-0.6,4.3,6.3,8.3,-2.5,10.4,2.4,4,6.9,-4,-1,10.4,-6.6,12.2,-2.2,7.7,0.5,1.6,7.6,3.3,6.3,4.8,3,7.8,2.7,5.6,4.8,3.6,5,2.7,4.4,3.5,4.7,5,5.3,5.4,5.4
Mozambique,4.2,5,-6.9,-15.7,-6.5,1,-2.3,14.7,8.2,6.5,1,6.6,-5.2,8.8,6.2,2.2,14.8,11.1,11.8,8.4,1.5,12.3,9.2,6.5,7.9,8.4,8.7,7.3,6.8,6.3,7.1,7.3,7.2,7.1,8.3,8.2,8.2,7.9,8,7.7
Myanmar,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10.9,13.7,11.3,12,13.8,13.6,13.6,13.1,12,3.6,5.1,5.3,5.9,7.3,8.3,8.5,8.5,8.2,8,7.7,7.6
Namibia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.3,9.3,-1.6,5.1,3.2,2.3,4.7,4,2.7,4.1,1.2,4.8,4.3,12.3,2.5,7.1,5.4,3.4,-1.1,6.3,5.7,5,4.3,4.3,4.5,4.6,4.7,4.6,4.7
Nauru,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Nepal,-2.3,8.3,3.8,-3,9.7,6.1,4.6,1.7,7.7,4.3,4.6,6.4,4.1,3.8,8.2,3.5,5.3,5.3,2.9,4.5,6.1,5.6,0.1,3.9,4.7,3.5,3.4,3.4,6.1,4.5,4.8,3.4,4.8,3.9,5.5,5,4.7,4.5,4.5,4.5
Netherlands,n/a,-0.5,-1.3,1.8,3.1,2.7,3.1,1.9,4.6,4.4,4.2,2.4,1.7,1.3,3,3.1,3.4,4.3,3.9,4.7,3.9,1.6,0,0.3,1.9,2.2,3.8,4.2,2.1,-3.3,1.1,1.7,-1.6,-0.7,0.6,1.4,1.6,1.7,1.9,2
New Caledonia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
New Zealand,1,3,2.9,-0.1,6.9,1.2,1.8,2.4,0.6,0.5,0,-1.3,0.7,5.2,5.6,4.7,4,2.5,0,4.6,4.2,2.5,4.9,4.2,4.4,3.2,2.8,3.4,-0.8,-1.4,2.1,1.9,2.5,2.8,3.6,2.8,2.5,2.5,2.5,2.5
Nicaragua,4.6,5.4,-0.8,4.6,-1.6,-4.1,-1,-0.7,-12.4,-1.7,-0.1,-0.2,0.4,-0.4,5,5.9,6.3,4,3.7,7,4.1,3,0.8,2.5,5.3,4.3,4.2,5.3,2.9,-2.8,3.3,5.7,5,4.6,4,4,4,4,4,4
Niger,4.9,-0.2,2.2,-3.9,-16.8,7.7,6.4,0.1,6.9,1,-1.3,2.5,-6.5,1.4,4,-6.6,5.1,0.5,12.7,1,-2.6,8,5.3,7.1,-0.8,8.4,5.8,3.2,9.6,-0.7,8.4,2.3,11.1,4.1,6.3,4.9,5.7,11.3,8.4,10.3
Nigeria,2.9,20.8,-1.1,-5.1,-2,8.3,-8.8,-10.8,7.5,6.5,12.8,1.8,2.9,4.6,3.4,2.1,7.5,5.3,5.2,2.9,7.9,10.8,24.1,13,13.3,7.9,8.8,9.6,8.6,9.6,10.6,4.9,4.3,5.4,7,7.3,7.2,7.1,6.9,6.8
Niue,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Northern Mariana Islands,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Norway,4.5,1.5,0.1,3.9,5.9,5.4,4,1.8,-0.2,1,1.9,3.1,3.5,2.8,5.1,4.2,5.1,5.4,2.7,2,3.3,2,1.5,1,4,2.6,2.3,2.7,0.1,-1.6,0.5,1.3,2.9,0.6,1.8,1.9,2,2.1,2.1,2.1
Oman,6.1,17.1,11.5,15.9,13.9,14.5,2.1,-4,5.2,3,8.4,6,8.5,6.1,3.8,4.8,2.9,6.2,2.7,0.3,6.5,4.5,-1.1,-2.7,1.3,2.5,5.4,4.5,8.2,6.1,4.8,4.1,5.8,4.8,3.4,3.4,3.6,3.3,3.3,3.4
Pakistan,8.5,6.8,6.5,6.8,5.1,7.6,5.5,6.5,7.6,5,4.5,5.4,7.6,2.1,4.4,5.1,6.6,1.7,3.5,4.2,3.9,2,3.1,4.7,7.5,9,5.8,5.5,5,0.4,2.6,3.6,3.8,3.7,4.1,4.3,4.4,4.8,5,5
Palau,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.2,4.7,0,7.8,0.8,-1.4,1.7,-5.5,-10.7,3.2,5.2,5.5,-0.2,1.8,2.2,2.5,2.5,2.2,2.2
Panama,4.5,9.2,5.3,-4.5,2.7,4.9,3.6,-1.8,-13.4,1.6,8.1,9.4,8.2,5.5,2.8,1.8,7.4,6.3,7.3,3.9,2.7,0.6,2.2,4.2,7.5,7.2,8.5,12.1,10.1,3.9,7.5,10.9,10.8,8.4,6.6,6.4,6.7,6.3,5.9,5.8
Papua New Guinea,-2.3,1.1,0.8,3.4,-1,3.6,5.7,2.8,2.9,-1.4,-3,9.5,13.8,18.2,5.9,-3.4,6.6,-6.3,4.7,1.9,-2.5,0,2,4.4,0.6,3.9,2.3,7.2,6.6,6.1,7.7,10.7,8.1,5.5,5.8,19.6,3.3,3.4,3.5,3.5
Paraguay,11.7,9.2,-1.4,-3,2.8,3.9,0.3,4.1,5.9,5.8,2.9,2.5,1.7,4.9,5.3,6.8,1.6,4.2,0.1,-1.4,-2.3,-0.8,0,4.3,4.1,2.1,4.8,5.4,6.4,-4,13.1,4.3,-1.2,13.6,4,4.5,4.5,4.5,4.5,4.5
Peru,7.7,5.5,-0.3,-9.3,3.8,2.1,12.1,7.7,-9.4,-13.4,-5.1,2,0,4.8,12.9,7.4,3.2,7.3,0,2.7,3.3,0.7,5.3,2.8,5,6.3,7.5,8.5,9.1,1,8.5,6.5,6,5.8,3.6,5.1,5.5,5.5,5.5,5.5
Philippines,5.1,3.4,3.6,1.9,-7.3,-7.3,3.4,4.3,6.8,6.2,3,-0.6,0.3,2.1,4.4,4.7,5.8,5.2,-0.6,3.1,4.4,2.9,3.6,5,6.7,4.8,5.2,6.6,4.2,1.1,7.6,3.7,6.8,7.2,6.2,6.3,6,6,6,6
Pitcairn,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
