"U.S.  Military Assistance, Constant 2012 $US ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: US Overseas Loans & Grants [Greenbook], http://gbk.eads.usaidallnet.gov/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by USAID Economic Analysis and Data Services on March 28, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tq—In 1976 the U.S. Government changed the fiscal year from July-June to October-September. The Transition Quarter (TQ) reports the 3 month adjustment period of July, August and September in 1976.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Program Name,FY1946,FY1947,FY1948,FY1949,FY1950,FY1951,FY1952,FY1953,FY1954,FY1955,FY1956,FY1957,FY1958,FY1959,FY1960,FY1961,FY1962,FY1963,FY1964,FY1965,FY1966,FY1967,FY1968,FY1969,FY1970,FY1971,FY1972,FY1973,FY1974,FY1975,FY1976,FY1976tq,FY1977,FY1978,FY1979,FY1980,FY1981,FY1982,FY1983,FY1984,FY1985,FY1986,FY1987,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012
Bahrain,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,619,455","889,682","1,467,421","33,481,672","114,228,169","15,828,047","27,582,616","23,984,049","19,138,365","7,932,155","48,598,998","115,949,821","30,211,358","28,760,306","18,204,591","24,734,491","4,902,002","9,095,629","21,214,018","17,161,406","10,553,835"
Bangladesh,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"135,857","610,351","631,732","305,012","302,296","337,433","395,502","509,129","630,027","491,157","533,705","501,570","541,106","481,763","5,498,498","4,865,904","681,647","356,887","3,186,895","452,526","2,914,994","2,102,260","1,585,978","593,922","645,192","811,173","947,061","1,629,619","5,955,073","2,151,737","2,094,243","1,504,217","1,446,268","2,608,730","4,023,569","10,341,780"
Barbados,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,061","73,793","38,067","117,368","104,396","135,510","129,381","126,455","121,378","145,282","3,330","1,077,543","1,950,930","1,307,325","172,625","66,465","149,979","415,047","3,333,833","706,585","654,847","556,151","1,219,120","862,497","639,143","275,193","208,584","168,104","231,847","275,525","398,065","709,109","546,863","1,269,000"
Belarus,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"143,116","14,629,045","20,845,596","387,285","372,092","82,098",,,,,,,,,,,,,,
Belgium,"Military Assistance, Total",,,,,"704,500,988","2,527,816,751","2,111,740,451","1,009,169,236","556,266,343","740,203,630","333,021,922","376,143,060","41,678,493","159,128,858","107,108,182","341,273,034","37,600,393","72,849,973","35,657,205","2,331,554","108,139","121,340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,255","3,151",,,
Belize,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,917","96,366","96,793","1,121,298","131,953","167,787","527,513","178,149","814,179","951,485","980,117","920,666","307,761","76,404","405,330","589,677","880,203","731,888","530,102","1,072,774","1,002,699","916,392","777,718","1,399,830","867,419","4,006,709","1,911,653","4,895,465","5,361,984","13,752,030","5,654,000"
Benin,"Military Assistance, Total",,,,,,,,,,,,,,,,,"321,215","23,942",,,,"22,062","10,656","71,342",,,,,,,,,,,,,,,,,"86,254","108,128","153,507","114,150","136,525","236,064","181,014","159,834","535,580","145,934","227,798","390,061","477,041","4,812,856","494,124","463,676","488,666","628,408","468,623",,,"386,640","415,801","155,315","447,429","328,561","629,351","1,015,000"
Bolivia,"Military Assistance, Total",,,,,,,,,,,,,"549,073","2,140,098","2,008,006","10,736,212","14,521,364","29,700,236","16,858,499","14,518,433","16,283,530","20,517,544","13,031,838","9,936,939","7,193,552","11,546,565","26,468,645","20,189,489","31,078,159","25,665,748","45,223,730","32,814,436","8,200,833","2,207,100","17,147,777","504,254",,,,"241,981","6,279,646","256,574","328,434","650,312","1,290,330","75,079,513","55,520,289","41,982,186","33,859,564","11,038,641","5,090,050","765,546","6,433,235","13,104,803","6,529,640","10,978,174","8,578,378","7,729,923","8,767,673","11,098,636","6,493,915","4,417,785","2,172,614","1,691,446","652,239","900,422","285,143","229,000"
Bosnia & Herzegovina,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"322,596","111,614,317","18,427,841","7,853,192","6,152,638","1,265,836","8,551,654","4,969,683","4,370,587","23,199,930","10,935,596","11,322,395","10,390,668","4,536,054","4,762,077","5,360,945","5,577,597","5,499,000"
Botswana,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"172,184","1,168,877","1,247,036","10,425,586","13,986,519","17,412,001","575,460","622,953","560,375","569,410","2,171,144","4,952,362","877,582","3,393,457","525,939","5,977,888","630,205","532,923","1,518,759","746,499","623,879","2,876,003","2,118,062","1,771,445","1,701,408","1,382,448","849,488","734,727","1,111,674","859,148","1,058,464","1,126,314","854,962"
