"U.S.  Military Assistance, Constant 2012 $US ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: US Overseas Loans & Grants [Greenbook], http://gbk.eads.usaidallnet.gov/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by USAID Economic Analysis and Data Services on March 28, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tq—In 1976 the U.S. Government changed the fiscal year from July-June to October-September. The Transition Quarter (TQ) reports the 3 month adjustment period of July, August and September in 1976.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Program Name,FY1946,FY1947,FY1948,FY1949,FY1950,FY1951,FY1952,FY1953,FY1954,FY1955,FY1956,FY1957,FY1958,FY1959,FY1960,FY1961,FY1962,FY1963,FY1964,FY1965,FY1966,FY1967,FY1968,FY1969,FY1970,FY1971,FY1972,FY1973,FY1974,FY1975,FY1976,FY1976tq,FY1977,FY1978,FY1979,FY1980,FY1981,FY1982,FY1983,FY1984,FY1985,FY1986,FY1987,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012
Djibouti,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"119,464","226,861","205,200","4,907,087","194,263","260,605","1,959,583","239,752","3,547,380","2,650,233","69,362","303,938","153,158","354,375","208,218","128,120","138,625","163,380","212,301","295,236","2,081,759","16,627,541","8,374,229","5,454,472","4,894,081","4,511,766","2,492,489","2,597,401","2,473,562","6,081,823","2,023,086"
Dominica,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,914","8,383","22,084","83,242","82,504","84,303","94,603","70,912","74,922","1,159,442","843,186","731,318","222,789","96,807","111,777","117,990","324,388","251,679","259,017","339,942","436,491","445,644","79,740","506,115","252,618","311,554","191,573","57,445","117,634","2,082,617","297,363","330,000"
Dominican Republic,"Military Assistance, Total",,,,,,,,"2,868,458","9,880,146","3,465,897","16,365,150","6,819,952","11,524,154","2,498,879","584,373","373,806","6,915,224","23,900,250","11,800,949","9,686,707","18,400,788","15,200,632","13,676,504","12,846,679","9,891,134","5,165,569","8,888,822","10,080,001","3,171,080","5,363,629","5,784,045","3,538,812","4,733,388","1,773,201","2,545,666","8,459,166","7,490,214","9,284,652","11,186,475","6,152,132","16,320,704","1,255,382","1,427,973","2,092,758","1,135,491","3,229,416","2,531,104","2,928,288","2,166,044","12,204,967","664,829","727,404","1,893,988","2,442,620","2,641,968","6,249,210","2,288,076","7,571,616","2,219,214","5,042,006","3,863,584","5,061,065","3,159,869","2,663,761","2,340,076","8,255,182","8,688,709","8,174,900"
East Africa (not specified),"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,251,518","10,397,488","10,142,937","8,825,000"
Eastern Europe (not specified),"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"380,594","977,101","90,001",,,,,,,,,,,,,,,"170,208","241,570","258,897","103,873",
Ecuador,"Military Assistance, Total",,,,,,,"16,709,969","28,541,872","7,762,972","8,402,175","15,662,226","14,534,325","26,464,055","24,957,317","5,508,030","66,954,251","29,400,308","20,703,973","30,345,299","33,781,375","21,548,216","36,164,929","12,722,825","11,562,521","11,268,931","1,362,752",,,"3,929","1,355,134","34,727,497","321,710","47,528,400","30,960,151","1,212,604","7,925,395","9,619,719","10,431,086","9,088,509","12,966,325","12,518,040","8,239,704","965,667","1,169,177","1,080,548","5,888,747","4,379,924","10,140,442","7,556,344","735,448","414,565","778,978","3,976,134","6,913,770","13,432,994","16,398,381","25,810,291","31,526,821","28,325,950","21,399,213","24,433,298","26,632,227","23,737,658","21,868,587","21,677,217","15,788,585","7,304,748","4,713,000"
Egypt,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"529,357","4,016,260,534","2,085,889","1,233,187,123","1,891,124,294","2,663,670,039","2,645,258,153","2,205,841,428","2,283,037,594","2,323,483,248","2,250,972,459","2,166,896,062","2,081,085,002","2,014,050,097","1,962,523,173","1,921,447,816","1,920,276,840","1,898,847,315","1,907,094,993","1,778,529,230","1,754,140,229","1,795,722,000","1,737,074,520","1,653,967,938","1,629,063,497","1,599,788,928","1,577,116,224","1,500,298,805","1,458,600,531","1,418,542,081","1,373,061,514","1,366,793,729","1,353,648,919","1,322,527,981","1,301,389,000"
El Salvador,"Military Assistance, Total",,,,,,,,,,,,,,,"522,206","1,335,898","6,212,186","8,786,769","7,275,773","3,064,163","4,706,914","1,820,105","2,509,401","1,916,046","2,789,435","1,993,486","1,560,599","2,135,629","4,448,157","19,039,461","3,374,856","321,710","1,772,319","8,678","10,707","14,620,903","79,615,718","139,913,206","103,360,463","42,762,934","255,436,647","2,646,382","2,407,919","140,932,564","2,380,868","130,180,324","103,506,058","34,083,950","16,672,320","616,779","571,738","742,643","846,406","1,053,822","2,340,447","1,155,283","11,406,580","3,634,509","5,667,643","15,416,766","11,419,974","19,908,050","11,080,766","8,802,965","12,811,604","6,601,365","10,417,896","9,899,000"
Equatorial Guinea,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,684","112,427","104,536","146,256","71,474","151,722","140,094","149,845","680,891","196,485","107,059",,,,,,,,,,,,,,,,,,,,
Eritrea,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"407,458","933,832","6,944,471","2,948,112","1,896,341","583,119","35,166","197,248","425,615","467,397","337,410","278,112",,,,,,,
Estonia,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91,980","817,076","296,988","2,071,639","7,124,929","4,051,103","15,336,578","7,139,558","6,403,187","8,826,528","9,120,684","12,695,767","8,833,681","7,074,474","8,326,244","5,533,852","2,722,270","2,900,939","3,801,321","3,908,493","3,612,300"
Ethiopia,"Military Assistance, Total",,,,,,,,,"35,956,675","7,687,990","34,791,298","73,717,305","48,516,370","55,806,197","38,686,762","108,894,109","110,364,791","50,482,021","50,380,294","58,713,309","90,677,807","100,535,966","64,194,856","62,954,332","57,442,059","61,480,394","53,275,786","50,037,751","85,815,643","124,604,789","10,874,535","2,573,681","2,602,900",,,,,,,,,,,,,"16,059",,,"236,068","1,277,873","5,105,162","6,861,440","1,789,584","1,721,377","4,537,438","197,974",,"4,062,122","5,514,298","3,614,595","8,832,374","2,883,552","2,581,884","1,501,025","1,541,846","349,356","661,939","5,418,000"
Fiji,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,381","154,868","193,133","152,112","146,367",,,,,,,,,,,,"684,069","557,454",,,,"273,996","597,941","815,867",,,,,"43,790",
Finland,"Military Assistance, Total",,,,,,,,,,,,,,,,,"6,061","23,942","5,915","34,886","62,607","38,608","122,540","61,150","14,503","64,455","48,357","105,307","55,013","49,795","59,732",,"37,052","107,028","64,244","105,770","82,851","85,930","84,320","69,691","56,252","93,466","112,453","79,559","118,211","59,417","23,207",,,"14,449","21,223","19,434",,,,,,,,,,,,,,,,
France,"Military Assistance, Total",,,,,"3,668,470,702","9,754,556,164","10,428,110,219","1,478,433,288","1,149,618,521","1,517,285,808","1,805,161,988","301,590,524","1,083,481,192","610,941,265","685,830,558","155,276,749","199,159,659","175,100,905","3,584,649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,879,645",,,,"2,657",,,"12,518",,"7,179",,"5,603",,"34,042","38,861",,,
Gabon,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,636,884",,"6,175,326","5,785,322",,"125,449","5,933,952","5,574,983","2,228,462","5,991,457","258,761","241,913","249,895","219,653","94,902","234,458","496,629","170,390","169,674",,,,,,,"61,216","166,706","196,534","295,650","336,214","508,713","651,125","629,144","209,569","364,455","1,018,954","539,735","212,200"
"Gambia, The","Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112,505","97,132","103,528","102,044","154,840","239,275","951,485","327,208","2,062,646","144,489",,,,,,,,"60,087","83,420","218,958","220,172","80,690","112,114","126,592","177,501","122,690","371,704","111,350"
Georgia,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91,028","116,021","419,211","1,379,329","7,760,326","12,314,840","4,739,657","12,326,089","136,140,536","11,175,194","16,186,145","15,915,828","15,679,102","11,996,726","10,667,811","14,219,011","18,513,767","72,971,099","80,039,000"
Germany,"Military Assistance, Total",,,,,,"1,963,081,279","1,472,656,803","1,302,750,931","1,692,327,893","2,100,544","72,373,816","407,750","52,896,187","16,692,763","190,194,888","5,864,472","2,103,052","1,975,227","1,774,579","255,831","284,578","259,227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"711,911","23,176","22,414","244,909","25,531","23,107",,"1,431,824","597,000"
Ghana,"Military Assistance, Total",,,,,,,,,,,,,,,,,"30,303","155,624",,,,"137,887","250,407","254,793","222,381","184,156","175,842","231,676","145,390","248,975","358,392","3,217","256,276","673,990","575,519","462,438","445,606","618,278","513,951","458,797","523,148","388,527","373,058","281,917","322,999","277,817","1,858,103","693,621","1,332,310","742,672","433,666","356,746","331,203","4,829,006","2,270,047","1,575,978","2,951,084","1,917,772","1,937,672","1,983,779","1,530,775","1,445,698","1,788,379","1,710,594","1,693,089","4,027,987","2,861,612","2,817,000"
Greece,"Military Assistance, Total",,,"1,608,858,782","1,245,101,963","823,281,972","1,211,683,006","1,245,205,068","815,562,584","409,306,227","116,181,078","205,410,608","788,201,028","270,335,590","763,889,017","815,393,599","735,271,162","617,188,274","577,478,643","372,478,189","477,619,799","582,695,409","513,611,488","357,517,771","650,573,965","330,303,927","463,805,441","486,524,554","336,612,234","265,239,064","305,883,364","624,935,663","109,703,165","452,234,591","505,709,461","457,523,899","361,257,314","399,710,986","592,482,347","564,722,268","970,763,115","940,116,814","791,486,241","614,349,636","595,112,982","533,932,084","560,583,953","542,367,908","528,198,682","490,512,030","419,475,804","355,131,096","363,880,757","172,008,765","2,762,873","59,255,514","21,769,506","6,638,349","900,051","9,271,428","679,606","1,188,929","35,588,384","903,006","762,800","367,606","151,803","1,841,208","105,700"
Grenada,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116,151","118,130","137,451","135,657","108,962","119,876","1,066,302","1,014,917","883,613","367,381","117,036","111,777","570,516","209,898","360,695","336,057","579,595","346,138","370,536","371,709","689,178","303,606","304,829","291,714","88,296","345,550","2,058,703","356,429","375,000"
Guatemala,"Military Assistance, Total",,,,,,,,,,,"4,060,577","1,223,251","185,153","1,416,241","3,512,457","698,589","22,121,444","17,328,130","16,195,990","9,128,530","8,309,666","11,946,505","6,020,432","12,362,572","6,661,771","30,763,217","9,477,894","16,086,722","9,536,818","10,136,832","6,699,935","321,710","1,531,481","2,893","5,354",,,,,,"847,537","654,265","876,418","16,351,187","672,637","5,323,478","617,305","316,653","225,740","202,284",,,"1,292,099","2,213,967","3,061,708","1,750,508","1,842,678","1,381,998","1,412,499","1,624,833","1,280,474","2,091,219","2,537,256","3,158,429","3,393,531","9,524,099","20,389,747","13,249,100"
Guinea,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,"4,918,940","728,519",,,"76,438",,,,,,,,,,,,,,,"96,366","174,227","5,839,002","249,244","328,434","262,892","279,710","979,584","1,407,888","502,122","423,447","127,150","219,309","48,584","74,964","94,211","221,824","233,141","4,140,935","332,981","257,620","576,708","686,010","645,521","524,649","373,395","249,972","1,627,207","48,882","457,000"
Guinea-Bissau,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,054","32,122","25,166","7,500",,"73,184","83,019","91,572","798,120","640,512","376,968","2,807,737","147,379","106,117","122,154","162,194","86,136",,"28,654","69,991","86,375","94,461","7,179","100,816","132,242","104,494","131,912","311,940",,"10,184",
Guyana,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,342","50,191",,,,,,,,"57,244","116,106","147,543","277,418","137,245","409,494","242,609","378,191","419,740","418,090","692,734","652,193","866,094","550,385","590,988","460,606","471,314","285,099","454,781","2,546,345","851,355","806,400"
Haiti,"Military Assistance, Total",,,,,,,,,,"714,185","7,452,353","1,775,687","1,130,069","874,922","10,394,386","2,714,693","1,600,017","5,986",,,,,,,,,,,,"49,795","331,844","3,217","1,830,984","1,822,376","998,458","285,334","918,083","1,073,079","1,282,871","1,353,159","1,290,056","425,180","453,381",,"166,494","799,726","2,582,159",,,,"13,133,067","931,426","681,487","1,265,124","611,013","1,488,713","3,722,260","816,180","715,203","802,844","623,434","1,463,629","1,408,498","1,337,200","3,293,752","1,873,627","1,962,394","205,000"
Honduras,"Military Assistance, Total",,,,,,,,,"3,500,395","672,174","266,155","868,114","351,152","396,548","2,169,642","888,556","9,060,701","5,147,562","2,401,597","5,017,784","7,740,511","4,952,891","5,221,260","4,249,953","2,127,126","3,940,933","2,751,930","2,472,612","2,609,166","14,821,116","11,684,235","321,710","9,750,840","9,250,730","6,012,162","9,757,927","20,011,972","43,015,394","19,638,568","1,761,624","126,335,451","33,338,179","6,588,310","71,091,515","1,886,380","33,916,098","51,629,259","9,351,825","2,495,109","787,588","459,841","694,058","979,978","2,610,199","2,715,581","1,182,635","1,579,256","2,077,258","2,352,072","5,685,718","3,949,190","3,075,191","3,979,497","5,971,123","4,346,156","4,832,752","10,451,502","9,930,000"
Hungary,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"386,782","966,546","11,728,166","11,125,636","1,126,371","5,877,287","15,244,149","24,154,452","10,946,436","9,635,610","13,202,888","14,757,582","25,501,942","10,743,278","10,453,099","4,660,976","4,153,655","2,277,601","2,217,191","2,314,481","2,113,112","1,847,000"
Iceland,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,490",,"50,860","9,839",,"16,767","18,069","42,589","41,252","49,482","39,269","31,132","33,299","12,847",,,,,,,,,,,,,,,,,,,,,,
India,"Military Assistance, Total",,,,,,,,,,,,,,,"130,552","606,669","38,848,891","355,882,085","243,986,848","171,901,264","43,944,473",,"330,325","361,807","377,081","695,188","118,693",,"880,201","341,451","826,292","3,217","617,533","893,832","1,215,281","646,921","11,196","171,860","279,060","249,725","549,399","555,300","346,283","451,413","494,488","422,345","349,651","467,440","534,104","219,623","294,298","495,558","550,641","238,220","320,118","636,904","633,739","2,268,279","1,226,763","1,620,047","9,622,675","1,425,526","1,632,726","1,420,176","1,481,978","1,319,441","2,957,338","1,462,000"
Indonesia,"Military Assistance, Total",,,,,"32,444,806",,"108,978","3,210,961","84,687","7,002",,,"19,154","118,762,838","76,329,112","109,053,436","36,339,774","50,326,397","9,133,166","720,979",,"13,799,703","25,509,583","27,660,362","39,308,314","161,638,098","137,354,727","83,845,562","76,919,329","70,609,262","175,973,669","34,101,277","121,348,252","161,743,140","96,079,483","81,989,220","72,192,680","88,730,253","54,633,445","91,436,018","64,056,514","38,337,715","3,255,778","9,796,184","2,742,160","2,876,124","41,692,046","3,204,229",,,,"800,943","143,112","640,637","645,549",,,"506,983","338,586","713,108","9,993,491","7,661,080","9,960,717","16,540,000","20,919,948","27,707,589","23,679,073","17,262,000"
Iran,"Military Assistance, Total",,,,,"94,042,916","198,787,491","211,402,899","146,954,963","180,630,244","108,521,095","156,902,066","542,367,067","669,645,939","532,456,326","530,287,768","359,228,000","270,614,952","363,094,657","218,426,997","482,195,693","879,196,813","1,089,652,567","649,764,467","647,108,776","12,535,538","9,576,099","59,720,402","1,427,965","7,859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,518","14,721",,,,,,,,,
Iraq,"Military Assistance, Total",,,,,,,,,,"73,484,024","40,940,172","145,665,501","63,686,116","4,110,247","161,635","288,015","430,308","215,479","443,645","970,996","1,087,086","540,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,466,041",,,"196,672",,"1,251,809","48,713,518","1,331,692,721","1,708,094,118","6,096,725,089","4,509,658,617","4,643,796,384","2,760,224,554","1,101,603,088","982,333,264","1,156,591,672"
Ireland,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,570",,"14,984",,"17,018",,,,,,,,,,,,,,,,,,,,,"9,000"
Israel,"Military Assistance, Total",,,,,,,,,,,,,,"2,517,762","3,108,369","6,128","80,000,837","79,607,645",,"75,005,118","512,239,686","38,608,282","133,195,402","433,148,637","145,031,289","2,509,121,971","1,318,816,388","1,263,685,932","9,755,547,790","1,067,034,991","5,641,351,661","643,420,322","3,087,663,203","2,892,661,008","10,707,322,707","2,459,774,995","3,134,917,874","2,934,201,483","3,412,959,113","3,290,945,540","2,625,113,269","3,156,964,858","3,212,939,002","3,113,194,030","2,996,896,552","2,995,013,025","2,849,992,017","2,812,574,220","3,119,328,200","2,604,873,723","2,553,937,280","2,513,315,359","2,458,110,017","2,424,713,985","2,497,739,821","3,700,735,636","2,531,127,441","2,580,172,919","3,788,928,386","2,590,995,292","2,585,734,376","2,530,336,037","2,548,955,572","2,533,241,423","2,502,864,383","2,912,646,557","3,064,711,566","3,075,000,000"
Italy,"Military Assistance, Total",,,,,"345,862,748","3,047,757,386","2,902,448,903","3,030,433,251","1,791,969,167","653,213,109","118,009,244","130,703,696","616,277,294","1,102,710,555","1,012,911,805","1,145,680,006","392,949,565","1,015,350,616","69,125,762","5,081,742","56,482,963","154,433",,,,,,"48,862,523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,793","10,885","70,211","315,091",,"954,210",
Jamaica,"Military Assistance, Total",,,,,,,,,,,,,,,,,,"3,244,161","76,898",,"2,845,776",,,,,,,,,,,,,,,,"3,663,375","2,248,856","337,281","389,106","14,321,868","520,480","558,694","482,545","12,180,720","7,907,333","3,132,937","4,770,909","1,248,211","1,771,432","669,246","2,323,014","1,416,129","2,394,315","2,386,937","1,790,885","2,057,742","2,057,975","2,167,690","2,153,681","3,170,477","3,123,381","2,502,425","2,082,925","2,092,205","2,721,023","4,086,707","4,373,000"
Japan,"Military Assistance, Total",,,,,,,,"655,749,507","507,380,792","1,076,178,610","1,423,590,577","906,126,356","590,368,696","260,928,274","842,486,144","400,959,507","1,002,168,059","282,637,066","47,493,646","105,617,672","9,516,275","2,388,198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,510",,,,
Jordan,"Military Assistance, Total",,,,,,,,,,,,,"75,286,885","163,655","33,340,367","24,364,827","19,327,475","27,545,442","31,061,045","52,788,486","127,320,020","79,411,720","2,008,587","72,295,055","986,213","269,714,498","246,772,527","232,248,625","183,466,843","356,610,207","447,365,824",,"394,223,575","367,631,180","295,749,637","194,735,467","98,593,167","119,394,754","105,938,251","226,060,857","172,184,929","152,267,749","3,453,909","48,747,430","19,757,873","112,184,880","32,636,697","31,039,555","14,018,028","19,982,213","47,434,932","273,187,650","85,482,873","94,117,814","212,447,013","225,386,161","97,395,957","127,797,226","787,081,987","258,179,497","356,101,558","236,764,301","229,464,387","320,544,952","250,084,648","316,885,485","325,175,612","303,650,000"
Kazakhstan,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"240,495","22,413,900","13,638,258","1,421,748","2,574,657","3,818,253","3,108,198","2,692,188","5,572,573","13,010,056","4,627,349","5,261,490","6,902,972","5,530,636","17,754,849","3,220,130","13,397,673","17,927,348","108,158,740","97,406,000"
Kenya,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,060,802","102,656,008","48,256,524","46,910,867","79,183,702","27,839,039","50,427,847","14,593,043","48,018,207","22,527,538","22,262,279","40,634,878","2,710,525","7,079,176","10,275,270","1,626,649","2,265,891","1,110,839","1,168,601","961,978","416,128","400,416","412,271","414,344","596,223","759,782","549,639","1,836,315","19,385,521","2,571,295","11,091,457","4,607,389",,"48,982","901,041","1,666,832","2,624,326","14,251,030","3,588,900"
Kiribati,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,312","15,276","33,400"
"Korea, North","Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,361",,,,,,,,,
"Korea, South","Military Assistance, Total",,,,,"35,863,824","47,697,508","12,256,399","30,026,049","89,605,868","406,105,136","3,188,952,085","2,469,138,420","683,372,771","1,200,147,948","1,947,623,260","1,571,592,626","1,675,126,613","1,259,949,593","935,729,521","717,322,202","1,349,296,248","1,528,479,813","2,252,217,041","2,873,492,769","1,714,845,128","3,118,212,480","3,267,468,712","1,551,452,493","640,911,886","499,450,625","1,061,241,119","436,238,978","477,488,588","800,075,323","608,208,052","320,707,924","364,216,998","351,339,190","374,666,621","448,664,285","434,928,766","301,480,431","3,577,072","2,836,466","2,437,476","1,920,627","1,520,828","1,170,109","402,791","30,343","14,149","12,493",,,,,,,,,,,,,,,,
Kosovo,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,233,996","3,327,196","5,782,289","3,706,000"
Kyrgyzstan,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,244","84,894","320,655","1,440,663","2,269,148","2,567,584","1,768,743","5,180,622","28,290,893","6,094,557","6,121,240","9,624,993","9,200,917","17,125,118","28,609,903","6,289,218","15,657,577","16,494,493","28,640,000"
Laos,"Military Assistance, Total",,,,,,,,,,,"199,207,138","61,234,885","97,926,581","51,450,468","123,669,573","284,981,460","370,791,757","23,996,019","151,265,103","294,624,755","392,068,255","457,960,407","452,891,007","487,873,145","681,226,468","922,560,412","1,259,711,434","1,209,743,392","261,950,100","44,072,102",,,,,,,,,,,,,,,,,,,"14,754",,,"694,058",,,,,,"26,288",,,,,"43,539","67,020","109,232","73,822","203,673","270,000"
Latin America & Caribbean (not specified),"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,515,718","24,655",,,,,,
Latvia,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,362","166,723","499,482","1,657,435","7,097,543","2,773,651","10,364,598","7,211,285","6,344,720","7,673,857","9,134,453","12,685,953","9,958,381","7,365,333","8,140,738","5,416,296","2,702,058","2,706,632","3,743,096","4,000,146","3,376,976"
Lebanon,"Military Assistance, Total",,,,,,,,,,,,"24,991,146","19,728,331","9,063,944","3,661,659","269,631","224,245","430,959","331,255","465,148","415,483","264,743","506,143","392,382","377,081","20,588,612","41,111,903","2,902,265","675,868","622,437","401,532",,"77,290,385","1,330,624","115,210,792","55,039,925","45,503,333","22,098,729","203,878,132","29,986,321","1,252,554","822,871","851,429","664,148","587,725","186,282",,,"871,977","439,246","11,523,597","7,790,945","3,706,632","740,232","735,873","758,033","694,822","711,028","858,734","837,543","937,469","34,712,045","9,896,496","8,956,153","64,778,346","2,599,372","81,047,769","83,856,000"
Lesotho,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,678","102,044","88,242","96,353","478,063","194,516","191,805",,"45,277","99,944","103,586","100,941","98,293","112,012","99,260","120,174","63,792",,,"56,035","116,468","190,421","258,375","184,036","189,416","92,000"
Liberia,"Military Assistance, Total",,,,,,,,,,,"4,094,700","3,485,607","6,385","220,304","1,243,348","5,839,960","9,163,732","748,192","2,543,563","6,267,870","3,494,613","4,274,488","3,521,686","2,705,905","2,475,201","3,084,609","10,414,253","871,943","444,030","6,729,434","5,956,604","3,217","1,843,335","1,987,258","3,862,667","8,992,937","11,858,946","15,915,947","12,589,804","1,473,182","24,676,065","1,521,120","478,371","342,451","367,952",,,,,,,,,,,,,,,,"32,418,589","25,108,080","60,445,690","98,373,003","55,136,740","18,559,515","11,533,008","13,285,000"
Libya,"Military Assistance, Total",,,,,,,,,,,,,"9,066,094","4,003,242","8,989,403","5,515,177","9,369,795","6,727,744","12,847,951","13,396,263","14,041,059","10,517,999","6,398,707","1,666,348","662,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,503","487,642","30,551,015","191,000"
Lithuania,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"108,567","218,363","216,733","1,653,394","4,735,460","2,818,084","13,428,357","7,335,018","7,192,140","9,269,168","9,528,773","14,342,205","9,251,256","7,701,385","6,426,073","7,121,950","2,800,992","2,899,888","3,951,045","4,212,985","3,674,923"
"Macedonia, Former Yugoslav Republic","Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"176,862","1,386,729","2,680,969","28,651,451","9,803,893","656,441","18,019,556","13,868,797","15,435,128","10,529,107","6,838,079","5,551,930","5,099,547","3,620,120","3,689,717","5,626,081","5,850,519","4,664,400"
Madagascar,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,130","96,793","3,947,045","141,116","142,797","131,446","144,850","865,567","329,539","227,689","404,267",,,"141,588","154,016","196,498","152,753","208,394","567,565","260,376","256,393","398,431","1,394,036","841,643","468,048","425,521","61,968",,,
Malawi,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,276","47,024","140,422","297,128","356,196","2,231,346","342,710","282,025","1,150,152","359,628","2,445,749","377,500","197,531","159,346","180,611","176,862","213,770","1,086,290","1,593,518","440,992","449,349","493,756","481,947","382,750","496,543","593,306","666,814","549,684","459,563","435,876","311,925","407,347","293,500"
Malaysia,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,"470,962","23,841,912","64,917,068","974,990","840,818","821,844","10,239,059","46,541,030","42,864,227","74,373,034","15,379,531","57,495,329",,"111,992,632","49,447,147","21,468,182","17,894,863","23,057,321","21,987,648","9,251,127","21,023,334","1,785,077","1,563,271","1,629,674","1,470,119","1,551,726","1,520,764",,,,"459,474","713,108","850,916","860,036","1,263,778","1,212,729","1,131,839","1,780,322","1,453,351","1,436,539","1,837,808","9,452,332","3,224,243","2,074,650","1,635,064","1,897,899","1,635,525","2,915,585","828,600"
